ts,family,scope,coin,sent,sent_z,mentions,confidence_flag
2026-08-16T05:00:00+00:00,news,coin,BTC,-0.12358017473229178,,54,normal
2026-08-16T05:00:00+00:00,news,coin,ETH,0.047063458682386525,,25,normal
2026-08-16T05:00:00+00:00,news,coin,SOL,0.04972338849793595,,19,normal
2026-08-16T05:00:00+00:00,news,coin,HTX,-0.872484872475406,,2,low
2026-08-16T05:00:00+00:00,news,coin,USD1,0.7287856422948092,,2,low
2026-08-16T05:00:00+00:00,news,coin,TRUMP,0.5,,2,low
2026-08-16T05:00:00+00:00,news,coin,USDT,0.3038917947798473,,16,normal
2026-08-16T05:00:00+00:00,news,coin,ETHFI,0.5,,1,low
2026-08-16T05:00:00+00:00,news,coin,AAVE,0.5,,1,low
2026-08-16T05:00:00+00:00,news,coin,XRP,-0.028048480626860092,,14,normal
2026-08-16T05:00:00+00:00,news,coin,FLR,0.5,,2,low
2026-08-16T05:00:00+00:00,news,coin,LINK,0.5,,1,low
2026-08-16T05:00:00+00:00,news,coin,DOGE,-0.5,,1,low
2026-08-16T05:00:00+00:00,news,coin,PUMP,0.5,,1,low
2026-08-16T05:00:00+00:00,news,coin,BNB,0.32509668326116864,,7,normal
2026-08-16T05:00:00+00:00,news,coin,USDC,0.4999999999942659,,5,normal
2026-08-16T05:00:00+00:00,news,coin,PI,0.5,,1,low
2026-08-16T05:00:00+00:00,news,coin,TRX,0.26907482139968825,,9,normal
2026-08-16T05:00:00+00:00,news,coin,FIGR_HELOC,-0.5,,1,low
2026-08-16T05:00:00+00:00,news,coin,HYPE,0.6610565107625401,,9,normal
2026-08-16T05:00:00+00:00,news,coin,U,0.5,,1,low
